Model,iPod touch (1st generation),iPod touch (2nd generation),iPod touch (3rd generation),iPod touch (4th generation),iPod touch (5th generation) Left: 32 and 64GB version and 16GB version for 2014 Right: 16GB version for 2013,iPod touch (6th generation)
Initial release operating system,iOS 1.1,iOS 2.1.1 iOS 3.1.1 (MC model),iOS 3.1.1,iOS 4.1,iOS 6.1.3,iOS 8.4
Latest release operating system,iOS 3.1.3,iOS 4.2.1,iOS 5.1.1,iOS 6.1.6,iOS 9.3.5,iOS 10.3.2
Display,"3.5 in (89 mm), 3:2 aspect ratio, 262,144-color (18-bit), glossy glass covered LED-backlit TN LCD, 480 × 320 px (HVGA) at 163 ppi, 200:1 contrast ratio","3.5 in (89 mm), 3:2 aspect ratio, 262,144-color (18-bit), glossy glass covered LED-backlit TN LCD, 480 × 320 px (HVGA) at 163 ppi, 200:1 contrast ratio","3.5 in (89 mm), 3:2 aspect ratio, 262,144-color (18-bit), glossy glass covered LED-backlit TN LCD, 480 × 320 px (HVGA) at 163 ppi, 200:1 contrast ratio","3.5 in (89 mm), 3:2 aspect ratio, 16,777,216-color (18-bit + FRC), glossy glass-covered LED-backlit TN LCD, 960 × 640 px at 326 ppi, 800:1 contrast ratio","4 in (100 mm), 71:40 aspect ratio, LED backlit IPS TFT LCD, 1,136 × 640 px at 326 ppi, 800:1 contrast ratio","4 in (100 mm), 71:40 aspect ratio, LED backlit IPS TFT LCD, 1,136 × 640 px at 326 ppi, 800:1 contrast ratio"
Input,Multi-touch touchscreen display,Multi-touch touchscreen display volume buttons built-in speaker,Multi-touch touchscreen display volume buttons built-in speaker and microphone with new earphones,"Multi-touch touchscreen display built-in speaker and microphone voice control 3-axis accelerometer, gyroscope volume buttons ambient light sensors","Multi-touch touchscreen display built in speaker and microphone Siri 3-axis accelerometer, gyroscope volume buttons","Multi-touch touchscreen display built in speaker and microphone Siri 3-axis accelerometer, gyroscope volume buttons"
Processor,"620 MHz (underclocked to 412 MHz, originally 400 MHz) 32-bit RISC ARM 1176JZ(F)-S v1.0 (32 KB L1) (Samsung S5L8900)",620 MHz (underclocked to 533 MHz) ARM11 core (32 KB L1) with internal ARM7 core for Jazelle acceleration (Samsung S5L8720),833 MHz (underclocked to 600 MHz) ARM Cortex-A8 (64 KB L1) (Samsung S5L8922),800 MHz ARM Cortex-A8 Apple A4 (SoC),1 GHz (underclocked to 800 MHz) ARM Cortex-A9 dual-core Apple A5 (SoC),1.4 GHz (underclocked to 1.1 GHz) dual-core Apple-designed ARMv8-A 64-bit Apple A8 with M8 motion coprocessor
GPU,PowerVR MBX Lite GPU,PowerVR MBX Lite GPU,PowerVR SGX535 GPU,PowerVR SGX535 GPU,"PowerVR SGX543MP2 (dual-core, 200 MHz) GPU","PowerVR GX6450 (quad-core, 450 MHz) GPU"
Storage,"8, 16 & 32 GB","8, 16 & 32 GB",32 & 64 GB,"8, 16, 32 & 64 GB",16 GB,"16, 32, 64 & 128 GB"
MSRP(US),"$299 (8 GB), $399 (16 GB), $499 (32 GB)","$229 (later $199) (8 GB), US$299 (16 GB), $399 (32 GB)","$299 (32 GB), $399 (64 GB)","$229 (later $199) (8 GB), $199 (16 GB (replaced 8 GB)), $299 (later $249) (32 GB), $399 (64 GB)",$229,"$199 (16 GB), $249 (32 GB), $299 (64 GB), $399 (128 GB)"
RAM,128 MB LPDDR DRAM,128 MB LPDDR DRAM,256 MB LPDDR DRAM,256 MB LPDDR DRAM,512 MB LPDDR2 DRAM,1 GB LPDDR3 DRAM
Connector,30-pin dock connector,30-pin dock connector,30-pin dock connector,30-pin dock connector,Lightning Connector (8-pin),Lightning Connector (8-pin)
Connectivity,"Wi-Fi (802.11b/g), 30-pin connector includes earphones and polishing cloth (only in 1st and 2nd generations)","In addition to prior: Bluetooth 2.1 + EDR (requires iPhone OS 3.0), built-in speaker, hardware volume controls, Nike+","In addition to prior: Voice control, includes earphones with remote and mic",In addition to prior: Wi-Fi (802.11b/g/n) (802.11n on 2.4 GHz) 3-axis gyroscope built-in microphone includes earphones (no remote or mic),In addition to prior: Wi-Fi (802.11a/b/g/n) (802.11n on 2.4 GHz and 5 GHz) Siri voice assistant revised Apple earbuds,In addition to prior: Wi-Fi (802.11 a/b/g/n/ac)
iPod Touch loop,No,No,No,No,No,No
GLONASS,,,,,,
GPS,,,,,,
Digital compass,,,,,,
Bluetooth,,Bluetooth 2.1 + EDR,Bluetooth 2.1 + EDR,Bluetooth 2.1 + EDR,Bluetooth 4.0,Bluetooth 4.1
